uniprot,primaryAccession
GHR_HUMAN,P10912
SLIB_HUMAN,P01286
SHC1_HUMAN,P29353
PIT1_HUMAN,P28069
PROP1_HUMAN,O75360
P53_HUMAN,P04637
TERT_HUMAN,O14746
ATM_HUMAN,Q13315
UROK_HUMAN,P00749
ERCC2_HUMAN,P18074
ERCC8_HUMAN,Q13216
WRN_HUMAN,Q14191
LMNA_HUMAN,P02545
IGF1R_HUMAN,P08069
THIO_HUMAN,P10599
KLOT_HUMAN,Q9UEF7
E2F1_HUMAN,Q01094
PTN11_HUMAN,Q06124
NFKB2_HUMAN,Q00653
STA5B_HUMAN,P51692
STAT3_HUMAN,P40763
STA5A_HUMAN,P42229
NRG1_HUMAN,Q02297
HDAC3_HUMAN,O15379
SOMA_HUMAN,P01241
IL7RA_HUMAN,P16871
IGF1,P08069
IGF2_HUMAN,P01344
INS_HUMAN,P01308
NGF_HUMAN,P01138
IRS1_HUMAN,Q6SW04
PTN1_HUMAN,P18031
IRS2_HUMAN,Q9Y4H2
AKT1_HUMAN,P31749
PK3CB_HUMAN,P42338
TNR16_HUMAN,P08138
RASH_HUMAN,P01112
MYC_HUMAN,P01106
EGFR_HUMAN,P00533
ERBB2_HUMAN,P04626
INSR_HUMAN,P06213
NCOR1_HUMAN,O75376
NBN_HUMAN,O60934
JUND_HUMAN,P17535
IL2_HUMAN,P60568
PDGFB_HUMAN,P01127
EGF_HUMAN,P01133
IL2RG_HUMAN,P31785
FOS_HUMAN,P01100
PGFRB_HUMAN,P09619
EPOR_HUMAN,P19235
SMS_HUMAN,P61278
KPCD_HUMAN,Q05655
PPARA_HUMAN,Q07869
RET_HUMAN,Q9BTX6
PLCG2_HUMAN,P16885
PEX5_HUMAN,P50542
TFE2_HUMAN,P15923
PARP1_HUMAN,Q9NWY4
BRCA1_HUMAN,P38398
PIN1_HUMAN,Q13526
PTEN_HUMAN,P60484
CBP_HUMAN,Q92793
HIF1A_HUMAN,Q16665
UBIQ_HUMAN,A0A0N4V3B8
RFA1_HUMAN,P27694
BLM_HUMAN,P54132
BCL2_HUMAN,P10415
S100B_HUMAN,P04271
TERA_HUMAN,P55072
DPOG1_HUMAN,P54098
IBP3_HUMAN,P17936
HS90A_HUMAN,P07900
GCR_HUMAN,P04150
EGR1_HUMAN,P18146
VEGFA_HUMAN,P15692
ABL1_HUMAN,P00519
BRCA2_HUMAN,A0A386IPJ4
TOP2A_HUMAN,P11388
TOP2B_HUMAN,Q02880
NFKB1_HUMAN,P19838
TOP1_HUMAN,P11387
RAD51_HUMAN,Q06609
UBC9_HUMAN,Q9HCI6
TNFA_HUMAN,P01375
PDPK1_HUMAN,O15530
CEBPA_HUMAN,P49715
CEBPB_HUMAN,P17676
MXI1_HUMAN,P50539
TGFB1_HUMAN,P01137
ERCC6_HUMAN,Q03468
STK11_HUMAN,Q15831
EP300_HUMAN,Q09472
APTX_HUMAN,Q7Z2E3
